,max_msd,mean_msd,positive_ratio,negative_ratio,positive_combo,negative_combo
166,0.453726851261368,0.030965114814617434,0.19282511210762332,0.31031390134529147,0,2
167,0.23570226039551584,0.014345825187922054,0.16981132075471697,0.05660377358490566,0,0
168,0.3535533905932738,0.011839771219862376,0.2764288382517744,0.13933507657825925,3,0
169,0.3928371006591931,0.02849640542437355,0.11484098939929328,0.2049469964664311,0,0
170,0.1402989645211403,0.014686945491165632,0.145985401459854,0.38929440389294406,0,1
171,0.4124789556921528,0.01648835795725371,0.1862123613312203,0.15134706814580032,1,1
172,0.04924614457781326,0.004890350414741868,0.5993485342019544,0.4006514657980456,5,1
173,0.23570226039551584,0.021056381150445672,0.1807909604519774,0.1480225988700565,1,0
174,0.04823586322517205,0.006348207807720412,0.3142426525998493,0.6435568952524491,0,35
175,0.11785113019775793,0.008429027069932817,0.1319796954314721,0.06852791878172589,0,0
176,0.25927248643506745,0.004974035789180636,0.2766740250183959,0.16850625459896984,6,0
177,0.23570226039551587,0.012420153232632396,0.18775510204081633,0.24956268221574343,0,3
178,0.35355339059327373,0.059592830997889354,0.1890547263681592,0.16417910447761194,0,0
179,0.10101525445522103,0.006418400288623245,0.18878504672897195,0.4532710280373832,0,11
180,0.2481076425215956,0.007591337137704594,0.1394354148845167,0.18562874251497005,0,0
181,0.3535533905932738,0.013733455838356992,0.30859375,0.2779947916666667,6,4
182,0.1767766952966369,0.00919117048852014,0.13953488372093023,0.10077519379844961,0,0
183,0.182872443410314,0.004121348080797667,0.16777834787070292,0.4145715751667522,0,11
184,0.7071067811865476,0.02813118556246394,0.19032597266035753,0.3217665615141956,0,2
185,0.35355339059327373,0.016711758774077178,0.09408926417370325,0.14837153196622438,0,0
186,0.17933867638789242,0.008119768270590527,0.12941961307538358,0.1494329553035357,0,0
187,0.35355339059327384,0.020445151622586897,0.1648590021691974,0.5553145336225597,0,34
188,0.3535533905932738,0.026594569529949194,0.10086956521739131,0.20695652173913043,0,0
189,0.35355339059327384,0.021970193401354497,0.1518324607329843,0.24559733460257022,0,1
190,0.11785113019775786,0.0057789253791369405,0.23974763406940064,0.24079915878023134,0,0
191,0.2469261775572071,0.0112068660029651,0.3392568659127625,0.3397953688745288,5,4
192,0.28284271247461906,0.01572228385637944,0.25452609158679446,0.32055378061767836,0,1
193,0.05050762722761051,0.010218383578390614,0.24324324324324326,0.08108108108108109,0,0
194,0.016370593358379468,0.002150106747870063,0.40728831725616294,0.46516613076098606,5,7
195,0.10101525445522103,0.007506674558628884,0.08862433862433862,0.24603174603174602,0,1
196,0.10153328140114526,0.012513519893313292,0.10866910866910867,0.08058608058608059,0,0
197,0.3535533905932738,0.028047335543323143,0.1553672316384181,0.1638418079096045,0,0
198,0.14142135623730953,0.015320264434737848,0.1024390243902439,0.13170731707317074,0,0
199,0.11048543456039807,0.014646871458095012,0.1963882618510158,0.23702031602708803,0,0
200,0.1414213562373095,0.009081248257785168,0.3511659807956104,0.43621399176954734,1,5
201,0.23570226039551592,0.01817633257153611,0.29654218533886584,0.3546334716459198,4,8
202,0.17677669529663687,0.015993340658866713,0.18518518518518517,0.13756613756613756,0,0
203,0.07448200033911238,0.00528949045644162,0.22916666666666666,0.34375,0,0
204,0.14142135623730953,0.01720362178948243,0.15053763440860216,0.20430107526881722,0,0
205,0.21213203435596423,0.020638371375991216,0.41402337228714525,0.21368948247078465,1,0
206,0.03928371006591926,0.007711456544027219,0.30952380952380953,0.09523809523809523,0,0
207,0.05318606200483228,0.005762103527655956,0.34276729559748426,0.610062893081761,0,7
208,0.024382992454708496,0.005003768413819413,0.1794871794871795,0.15384615384615385,0,0
209,0.36618029740017644,0.0238159431333949,0.17861205915813425,0.24232081911262798,0,0
210,0.20034692133618842,0.0201148448463632,0.22439759036144577,0.1822289156626506,0,0
211,0.152387834868408,0.005627822165690059,0.4952690715552927,0.43021880544056773,33,19
212,0.3535533905932738,0.020405286180569974,0.0635593220338983,0.13559322033898305,0,0
213,0.19234988035848347,0.011685318628524321,0.27151898734177216,0.4651898734177215,3,12
